Tipo,X,Y
Ejecutada,-0.039835599999999034,-0.82
Ejecutada,-0.03172497999999903,-0.82
Ejecutada,-0.02348561999999909,-0.82
Ejecutada,-0.015246259999999153,-0.82
Ejecutada,-0.00700689999999907,-0.82
Ejecutada,0.0012324600000008668,-0.82
Ejecutada,0.009343080000000871,-0.82
Ejecutada,0.017582440000000955,-0.82
Ejecutada,0.025821800000000894,-0.82
Ejecutada,0.03406116000000098,-0.82
Ejecutada,0.042171780000000984,-0.82
Ejecutada,0.04223595435226798,-0.8199949850811473
Ejecutada,0.04223595435226805,-0.8199949850811473
Ejecutada,0.04223595435226805,-0.8199949850811473
Ejecutada,0.042235954352267985,-0.8199949850811473
Ejecutada,0.042235954352267985,-0.8199949850811473
Ejecutada,0.04798402469411871,-0.8141820556264544
Ejecutada,0.048025520719950046,-0.8141328461076577
Ejecutada,0.048025520719950046,-0.8141328461076577
Ejecutada,0.048025520719950074,-0.8141328461076576
Ejecutada,0.04802552071995006,-0.8141328461076577
Ejecutada,0.04921476179238186,-0.8060448199472313
Ejecutada,0.04921046722390577,-0.8061090465272556
Ejecutada,0.04921046722390576,-0.8061090465272555
Ejecutada,0.04781919734209684,-0.7979879984837102
Ejecutada,0.046427927460287885,-0.7898669504401649
Ejecutada,0.04503665757847893,-0.7817459023966196
Ejecutada,0.04364538769666998,-0.7736248543530743
Ejecutada,0.0422758564067643,-0.7656306976852094
Ejecutada,0.04088458652495535,-0.757509649641664
Ejecutada,0.039493316643146426,-0.7493886015981187
Ejecutada,0.03810204676133747,-0.7412675535545733
Ejecutada,0.038102046761337494,-0.7412675535545734
Ejecutada,0.03547713472007695,-0.7335254415510084
Ejecutada,0.03285222267881637,-0.7257833295474434
Ejecutada,0.030196984763603708,-0.7179835369333275
Ejecutada,0.027572072722343167,-0.7102414249297625
Ejecutada,0.024947160681082593,-0.7024993129261975
Ejecutada,0.022291922765869943,-0.6946995203120816
Ejecutada,0.019636684850657248,-0.6868997276979656
Ejecutada,0.017011772809396686,-0.6791576156944006
Ejecutada,0.014386860768136125,-0.6714155036908356
Ejecutada,0.011731622852923465,-0.6636157110767197
Ejecutada,0.009076384937710806,-0.6558159184626038
Ejecutada,0.006421147022498146,-0.6480161258484879
Ejecutada,0.003796234981237608,-0.6402740138449229
Ejecutada,0.0011713229399770361,-0.6325319018413579
Ejecutada,-0.00148391497523561,-0.624732109227242
Ejecutada,-0.004139152890448304,-0.616932316613126
Ejecutada,-0.004139152890448275,-0.6169323166131261
Ejecutada,-0.004139152890448275,-0.6169323166131261
Ejecutada,-0.004139152890448324,-0.6169323166131261
Ejecutada,-0.004089480884765726,-0.6169732578973203
Ejecutada,-0.004089480884765726,-0.6169732578973203
Ejecutada,-0.004089480884765726,-0.6169732578973203
Ejecutada,-0.004089480884765726,-0.6169732578973203
Ejecutada,-0.004089480884765726,-0.6169732578973203
Ejecutada,-0.01232676641385562,-0.61715813710612
Ejecutada,-0.01232676641385562,-0.61715813710612
Ejecutada,-0.01232676641385562,-0.61715813710612
Ejecutada,-0.02003220267525602,-0.6198888354639757
Ejecutada,-0.02779489880782515,-0.6226506468194085
Ejecutada,-0.03550033506922549,-0.6253813451772641
Ejecutada,-0.04326984501193254,-0.6281239294439324
Ejecutada,-0.05103935495463959,-0.6308665137106007
Ejecutada,-0.058744791216040065,-0.6335972120684563
Ejecutada,-0.06645022747744046,-0.636327910426312
Ejecutada,-0.07421973742014751,-0.6390704946929803
Ejecutada,-0.08198924736285455,-0.6418130789596486
Ejecutada,-0.08969468362425495,-0.6445437773175042
Ejecutada,-0.09745737975682395,-0.647305588672937
Ejecutada,-0.10516281601822441,-0.6500362870307926
Ejecutada,-0.11293232596093146,-0.6527788712974609
Ejecutada,-0.1207018359036385,-0.6555214555641292
Ejecutada,-0.12840727216503897,-0.6582521539219849
Ejecutada,-0.13611270842643938,-0.6609828522798405
Ejecutada,-0.1438822183691465,-0.6637254365465088
Ejecutada,-0.15165172831185342,-0.6664680208131771
Ejecutada,-0.15942123825456048,-0.6692106050798454
Ejecutada,-0.16712667451596094,-0.6719413034377011
Ejecutada,-0.1748321107773614,-0.6746720017955568
Ejecutada,-0.18260162072006833,-0.677414586062225
Ejecutada,-0.1903070569814688,-0.6801452844200807
Ejecutada,-0.19806975311403793,-0.6829070957755136
Ejecutada,-0.20583244924660699,-0.6856689071309464
Ejecutada,-0.21347385325210463,-0.6883875651839506
Ejecutada,-0.22123654938467355,-0.6911493765393834
Ejecutada,-0.22893520145904087,-0.6938991433909438
Ejecutada,-0.23669103620056825,-0.6966801649068114
